depth	caliper	pef	rhob	dho	gr	npls	rshal	rdeep	rmic	vs	vp
2030.120483	12.5330143	3.416859865	2.309004307	-0.012108061	77.415802	0.422331005	2.571385622	2.908383846	3.27097559	246.0644379	106.4029999
2030.272827	12.55253601	3.70894742	2.316994906	-0.010390899	77.16010284	0.445333988	2.428699732	2.763497353	3.365556479	256.182312	112.0499573
2030.425293	12.59728909	3.975339651	2.288938522	-0.009826392	78.63939667	0.445912987	2.428440332	2.760051727	3.684898853	266.7574158	111.8012466
2030.577637	12.70762062	4.204231262	2.187984705	-0.013746555	75.26799774	0.462855011	2.391192913	2.729876757	3.370473623	256.4545288	113.9002228
2030.730103	12.98206997	3.919634104	2.125005961	-0.020196347	78.72070313	0.47121501	2.257714748	2.576015949	0.967742562	256.7867432	114.8498459
2030.882446	12.57061768	3.821873665	2.13402915	-0.014763279	80.51180267	0.468419999	2.204565287	2.523574352	0.620482087	251.34552	114.5999832
2031.03479	12.59379959	3.735500097	2.230000019	0.000776	82.68579865	0.440353513	2.286030293	2.616334677	0.97270751	250.8242188	114.5500031
2031.187256	12.58836651	3.998250485	2.292006731	0.003926356	82.17420197	0.450863004	2.44873333	2.784547091	1.48225534	244.9163971	109.4497376
2031.3396	12.67230034	3.862799883	2.309999943	-0.000558	81.57720184	0.458922535	2.61483407	2.968132258	2.673158884	237.4198761	108.699997
2031.492065	12.89125919	3.763237238	2.318008184	0.000260936	83.11170197	0.467119992	2.657479048	3.008383751	2.124045372	235.5287781	108.9491882
2031.644409	12.46650028	3.617500067	2.336999893	-0.002217	85.79709625	0.445349008	2.756209135	3.112947941	3.676877737	238.9273377	107
2031.796875	12.41553402	3.604277372	2.335001469	-0.009463158	88.75209808	0.422672004	2.892636538	3.297670364	3.524415493	235.3141327	107.8999786
2031.949219	12.33337879	3.558383465	2.337996721	-0.011816829	87.37229919	0.403346986	2.938096762	3.385514975	3.668186665	228.6526032	107.8500214
2032.101685	12.30720234	3.425250292	2.309974909	-0.010424271	83.41950226	0.403641999	2.933961153	3.40435791	3.651601553	225.4189911	108.0997315
2032.254028	12.31063843	3.336096287	2.264997244	-0.010911705	77.0236969	0.390955001	2.885516405	3.351602554	3.778202057	226.4416046	107.6000977
2032.406494	12.23408032	3.315767288	2.25001049	-0.009327818	75.20670319	0.395586014	2.781140089	3.229864836	3.529889584	226.1357575	108.1992493
2032.558838	12.20749855	3.424502134	2.267010689	-0.007413718	66.99559784	0.365709007	2.743855	3.208083868	2.58754158	225.6029816	106.9501267
2032.711304	12.20529175	3.432983875	2.310002089	-0.002259219	66.86779785	0.400169998	2.813632727	3.314231396	1.768339872	222.999588	107.4999313
2032.863648	12.19427681	3.409050703	2.312990904	-0.001112984	67.25140381	0.435272008	3.520937443	4.332883835	2.978332281	220.8213348	107.4003677
2033.015991	12.16549969	3.250400066	2.28399992	-0.004273	66.62750244	0.432392299	4.814929009	6.05885601	3.51641202	214.1523285	108.6499023
2033.168457	12.1123991	2.969633818	2.243987322	-0.00763096	59.19400024	0.375954986	5.225731373	6.627914906	2.282578945	209.1808472	109.8001251
2033.320801	12.1123991	2.792399883	2.210000038	-0.010194	54.84619904	0.316929311	5.139748573	6.521745205	1.383516908	199.1620483	110.1500092
2033.473267	12.1123991	2.761955023	2.193993807	-0.007238604	53.91770172	0.326882005	4.825856686	6.078539848	1.404824853	214.2806091	111.2011261
2033.62561	12.1123991	2.888082266	2.179996729	-0.008620094	54.19010162	0.350353003	4.646862507	5.753661156	1.56042552	224.7419434	113.9000092
2033.778076	12.11239719	2.626692295	2.130948544	-0.010002617	54.43370056	0.396569997	4.599801064	5.580046654	1.467271328	235.1686554	116.3034134
2033.93042	12.11030197	2.611492157	2.027996779	-0.019235289	55.76710129	0.432236999	4.476353169	5.388235569	1.306899548	229.912384	123.4006653
2034.082886	12.1123991	2.551580668	2.003026485	-0.02144892	61.11449814	0.455799997	4.168208122	4.933268547	1.306656957	230.9926148	129.351059
2034.23523	12.1123991	2.872605085	2.050023079	-0.019529235	60.65679932	0.424641013	4.053830624	4.769361973	1.751700282	234.3441925	131.2989349
2034.387695	12.1123991	2.899095297	2.170041323	-0.010411256	59.10100174	0.37164101	4.217149258	4.971613884	1.627261162	228.0175934	125.1433716
2034.540039	12.1123991	3.051650763	2.236007214	-0.01081944	59.38019943	0.34465	4.309697628	5.04220438	1.541511655	222.0838471	114.1991196
2034.692383	12.1123991	3.249377489	2.26399684	-0.008638245	64.39040375	0.356978148	3.807556629	4.299453735	2.554149389	218.0944214	110.5004807
2034.844849	12.1123991	3.051951408	2.267992973	-0.007919762	68.354599	0.364268005	3.503777027	3.867039919	3.114006519	227.2019806	110.2497482
2034.997192	12.1123991	2.899399996	2.246000052	-0.010306	71.14109802	0.362192661	3.350567341	3.667654753	1.999727726	231.0561676	109.4000626
2035.149658	12.1278677	2.888771296	2.238007069	-0.012170967	73.07579804	0.341134995	3.434684277	3.736292839	2.159735918	228.6356812	107.9993744
2035.302002	12.21150017	3.075200081	2.25699997	-0.012085	77.13960266	0.352364987	3.664548159	3.97693181	2.953648329	230.8801575	106.3000031
2035.454468	12.23189831	3.186464787	2.266990662	-0.011280857	75.99320221	0.380656987	3.724625826	4.016438961	4.012356758	231.7176514	105.7997665
2035.606812	12.22970009	3.107299566	2.245997667	-0.013209126	73.09880066	0.425182998	3.756783247	4.065098286	4.083055496	236.9650116	105.25
2035.759277	12.23409843	3.099774122	2.215997458	-0.014879537	67.98919678	0.431158006	3.860615969	4.187510014	3.777364254	235.4454651	105.0001221
